species	n_samples	n_observations	median_log2PTR	q1_log2PTR	q3_log2PTR	median_PTR	median_coverage	median_containment	median_windows	median_anchors	median_ori_confidence	clean_denture_median_log2PTR	unclean_denture_median_log2PTR	unclean_minus_clean_log2PTR	mannwhitney_p	mannwhitney_fdr_bh	median_relative_abundance_all_samples	median_nonzero_relative_abundance
Stomatobaculum_longum	12	12	0.7068172489	0.5500173945	0.81545875875	1.6324585644999998	6.512979479	0.041526845640000004	21.0	2004.0	0.94421389435	1.007192493	0.6324812693	-0.3747112237	0.06363636363636363	0.3606060606060606	0.0	0.0001396018094643
Pauljensenia_odontolytica	5	5	0.7061868218	0.441934616	0.7277591045	1.631486242	3.0454683	0.03224489796	23.0	1853.0	0.7656640492	0.71697296315	0.2777816664	-0.43919129675			0.0	0.00026563926490795
Ralstonia_mannitolilytica	17	17	0.7047069587	0.5370432223	1.126249507	1.629813582	2.829903389	0.004416510956	11.0	1100.0	0.7254694572	0.6964803049	0.9338531608	0.2373728559	0.9622583299053886	1.0	8.64800170687125e-05	0.0025416613477308
Pauljensenia_sp000185285	12	12	0.70110977555	0.5866912368	1.28747458625	1.6262810165000001	7.356302405999999	0.06714579055	32.0	2027.5	0.9903500815499999	1.108142804	0.6644077869	-0.4437350171000001	0.7272727272727273	1.0	2.52276082934852e-06	0.0008083210953026
Klebsiella_pneumoniae	11	11	0.6778313046	0.5279063994000001	1.017403017	1.599733188	3.709698232	0.01197916667	18.0	1840.0	0.860991165	0.97193687035	0.5775085718	-0.39442829854999994	0.24675324675324672	0.9668997668997669	0.0	0.0005415225164325
Prevotella_salivae	8	8	0.61917930735	0.529073403375	0.867861266425	1.5366980319999999	9.716117599499999	0.103825136595	24.0	1125.0	0.9954589769	0.5609065642	0.662635657	0.10172909280000009			0.0	0.0034410271377941
Agrobacterium_pusense	7	7	0.5963147689	0.5743498176999999	1.519013269	1.511849749	202.8295915	0.002311756935	9.0	900.0	0.999560482	0.58672719275	2.790371468	2.2036442752500003			0.0	0.002737285706326
Pauljensenia_sp000466265	9	9	0.5928804838	0.4449373951	0.6937864827	1.508255124	30.71428571	0.04697986577	57.0	878.0	0.996650109	0.64333348325	0.51798059	-0.12535289324999999			0.0	0.00051299669480485
Actinomyces_naeslundii	10	10	0.5847312371	0.41190164005	0.8396928317500001	1.5009780395	12.936029419	0.062166962699999995	34.5	2005.0	0.99654617105	0.3935763317	0.6428821766	0.24930584490000002			0.0	0.0005573239577717
Mitsuokella_sp000469545	6	6	0.5487322854500001	0.28031794784999997	0.8780903671	1.474781971	1.406525992	0.01654461622	19.5	1983.5	0.7374941628	1.33959282415	0.49281017715	-0.8467826469999999			0.0	5.79728596289142e-06
Cryptobacterium_curtum	6	6	0.44616330345	0.40992215505	0.5689292142	1.3624182894999999	3.5961104004999997	0.05069252078	19.5	1409.0	0.8225806027	0.6084183073	0.441864672	-0.1665536353			0.0	9.445951624617725e-05
Lacticaseibacillus_paracasei	12	12	0.4262219134	0.28471451155	0.61390322765	1.344986827	26.609814370000002	0.19928186715	91.5	1363.5	0.93056099895	0.6990292576	0.4262219134	-0.2728073442			0.0	0.000848564405452
