genome	gc	mode	depth	n	failed	r	rmse	slope
g11_Klebsiella_variicola	57.0	E_s105	1.0	8	0	0.994	0.183	0.897
g11_Klebsiella_variicola	57.0	E_s127	1.0	8	0	0.999	0.146	0.902
g11_Klebsiella_variicola	57.0	A_k16	2.0	8	0	0.999	0.047	1.003
g11_Klebsiella_variicola	57.0	A_k2	2.0	8	0	0.998	0.034	1.013
g11_Klebsiella_variicola	57.0	A_k4	2.0	8	0	0.999	0.033	1.025
g11_Klebsiella_variicola	57.0	A_k8	2.0	8	0	0.997	0.046	1.002
g11_Klebsiella_variicola	57.0	E_s105	2.0	8	0	1.0	0.052	0.988
g11_Klebsiella_variicola	57.0	E_s127	2.0	8	0	0.999	0.055	1.016
g11_Klebsiella_variicola	57.0	A_k16	5.0	8	0	1.0	0.016	1.015
g11_Klebsiella_variicola	57.0	A_k2	5.0	8	0	0.999	0.021	1.01
g11_Klebsiella_variicola	57.0	A_k4	5.0	8	0	1.0	0.014	1.009
g11_Klebsiella_variicola	57.0	A_k8	5.0	8	0	1.0	0.013	1.012
g11_Klebsiella_variicola	57.0	E_s105	5.0	8	0	1.0	0.02	1.004
g11_Klebsiella_variicola	57.0	E_s127	5.0	8	0	1.0	0.021	1.008
g12_Aquipseudomonas_alloputida	61.5	A_k16	0.5	8	0	0.994	0.331	0.679
g12_Aquipseudomonas_alloputida	61.5	A_k2	0.5	8	0	0.991	0.324	0.772
g12_Aquipseudomonas_alloputida	61.5	A_k4	0.5	8	0	0.988	0.286	0.768
g12_Aquipseudomonas_alloputida	61.5	A_k8	0.5	8	0	0.986	0.312	0.76
g12_Aquipseudomonas_alloputida	61.5	E_s103	0.5	8	0	0.98	0.362	0.685
g12_Aquipseudomonas_alloputida	61.5	E_s125	0.5	8	0	0.975	0.36	0.655
g12_Aquipseudomonas_alloputida	61.5	A_k16	1.0	8	0	0.998	0.107	0.903
g12_Aquipseudomonas_alloputida	61.5	A_k2	1.0	8	0	0.991	0.134	0.916
g12_Aquipseudomonas_alloputida	61.5	A_k4	1.0	8	0	0.996	0.116	0.899
g12_Aquipseudomonas_alloputida	61.5	A_k8	1.0	8	0	0.995	0.111	0.888
g12_Aquipseudomonas_alloputida	61.5	E_s103	1.0	8	0	0.996	0.134	0.873
g12_Aquipseudomonas_alloputida	61.5	E_s125	1.0	8	0	0.998	0.123	0.878
g12_Aquipseudomonas_alloputida	61.5	A_k16	2.0	8	0	0.999	0.052	1.016
g12_Aquipseudomonas_alloputida	61.5	A_k2	2.0	8	0	0.999	0.041	1.018
g12_Aquipseudomonas_alloputida	61.5	A_k4	2.0	8	0	0.999	0.042	1.019
g12_Aquipseudomonas_alloputida	61.5	A_k8	2.0	8	0	0.999	0.046	1.033
g12_Aquipseudomonas_alloputida	61.5	E_s103	2.0	8	0	0.999	0.05	0.998
g12_Aquipseudomonas_alloputida	61.5	E_s125	2.0	8	0	1.0	0.055	0.991
g12_Aquipseudomonas_alloputida	61.5	A_k16	5.0	8	0	1.0	0.021	0.983
g12_Aquipseudomonas_alloputida	61.5	A_k2	5.0	8	0	1.0	0.017	0.998
g12_Aquipseudomonas_alloputida	61.5	A_k4	5.0	8	0	1.0	0.012	0.99
